date,adj_close,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2016-02-29,10.67,10.96,7.4,7.93,60452309.0,10.67,0.0,10.96,7.4,7.93,1.0,60452309.0
2016-01-29,8.01,10.24,6.0,8.47,69344619.0,8.01,0.0,10.24,6.0,8.47,1.0,69344619.0
2015-12-31,8.69,10.73,8.6,9.1,70233236.0,8.69,0.0,10.73,8.6,9.1,1.0,70233236.0
2015-11-30,9.12,12.45,8.44,10.08,68550123.0,9.12,0.0,12.45,8.44,10.08,1.0,68550123.0
2015-10-30,10.06,13.93,10.03,11.51,60385819.0,10.06,0.0,13.93,10.03,11.51,1.0,60385819.0
2015-09-30,11.55,13.66,10.85,13.34,45332261.0,11.55,0.0,13.66,10.85,13.34,1.0,45332261.0
2015-08-31,13.73,14.7825,11.0,13.08,83029075.0,13.73,0.0,14.7825,11.0,13.08,1.0,83029075.0
2015-07-31,13.16,19.677,13.13,19.65,66650697.0,13.16,0.0,19.677,13.13,19.65,1.0,66650697.0
2015-06-30,19.52,22.47,19.43,21.85,43886332.0,19.52,0.0,22.47,19.43,21.85,1.0,43886332.0
2015-05-29,21.87,25.41,20.82,25.01,56808710.0,21.87,0.0,25.41,20.82,25.01,1.0,56808710.0
2015-04-30,25.09,32.88,24.76,27.44,62959386.0,25.09,0.0,32.88,24.76,27.44,1.0,62959386.0
2015-03-31,27.42,31.75,26.29,31.32,41849875.0,27.42,0.0,31.75,26.29,31.32,1.0,41849875.0
2015-02-27,30.47,33.17,27.0,29.29,67315022.0,30.47,0.0,33.17,27.0,29.29,1.0,67315022.0
2015-01-30,29.08,33.97,27.8,32.98,56909830.0,29.08,0.0,33.97,27.8,32.98,1.0,56909830.0
2014-12-31,32.87,35.11,27.462,35.08,60258384.0,32.87,0.0,35.11,27.462,35.08,1.0,60258384.0
2014-11-28,35.28,38.66,32.64,37.76,58764538.0,35.28,0.0,38.66,32.64,37.76,1.0,58764538.0
2014-10-31,37.8,46.15,36.12,46.15,86367166.0,37.8,0.0,46.15,36.12,46.15,1.0,86367166.0
2014-09-30,46.37,54.1,46.11,54.0,53508684.0,46.37,0.0,54.1,46.11,54.0,1.0,53508684.0
2014-08-29,53.51,54.24,46.05,49.25,61938100.0,53.51,0.0,54.24,46.05,49.25,1.0,61938100.0
2014-07-31,50.13,69.56,48.26,60.5,99003200.0,50.13,0.0,69.56,48.26,60.5,1.0,99003200.0
2014-06-30,59.8,61.03,48.1,50.69,83510600.0,59.8,0.0,61.03,48.1,50.69,1.0,83510600.0
2014-05-30,50.65,56.95,45.42,47.91,92597800.0,50.65,0.0,56.95,45.42,47.91,1.0,92597800.0
2014-04-30,47.34,60.8,43.35,59.5,105735800.0,47.34,0.0,60.8,43.35,59.5,1.0,105735800.0
2014-03-31,59.15,77.58,55.26,73.72,112472300.0,59.15,0.0,77.58,55.26,73.72,1.0,112472300.0
