,,0
noncontrolinttocap,evtofcff,2.8637006626525576e-17
noncontrollinginterestsharingratio,evtofcff,2.8637006626525576e-17
divpayoutratio,evtoocf,2.9852976789408667e-17
evtoocf,divpayoutratio,2.9852976789408667e-17
evtoocf,stdebttocap,2.9852976789408667e-17
noncontrollinginterestsharingratio,evtoocf,2.9852976789408667e-17
preferredtocap,evtoocf,2.9852976789408667e-17
dividendyield,evtoocf,2.9852976789408667e-17
stdebttocap,evtoocf,2.9852976789408667e-17
noncontrolinttocap,evtoocf,2.9852976789408667e-17
evtoocf,noncontrollinginterestsharingratio,2.9852976789408667e-17
rdextorevenue,evtoocf,2.9852976789408667e-17
evtoocf,preferredtocap,2.9852976789408667e-17
evtoocf,noncontrolinttocap,2.9852976789408667e-17
evtoocf,rdextorevenue,2.9852976789408667e-17
evtoocf,dividendyield,2.9852976789408667e-17
noncontrolinttocap,evtoebit,2.992947584824416e-17
evtoebit,preferredtocap,2.992947584824416e-17
noncontrollinginterestsharingratio,evtoebit,2.992947584824416e-17
evtoebit,stdebttocap,2.992947584824416e-17
preferredtocap,evtoebit,2.992947584824416e-17
dividendyield,evtoebit,2.992947584824416e-17
evtoebit,noncontrolinttocap,2.992947584824416e-17
stdebttocap,evtoebit,2.992947584824416e-17
evtoebit,noncontrollinginterestsharingratio,2.992947584824416e-17
evtoebit,dividendyield,2.992947584824416e-17
rdextorevenue,evtoebit,2.992947584824416e-17
evtoebit,divpayoutratio,2.992947584824416e-17
evtoebit,rdextorevenue,2.992947584824416e-17
divpayoutratio,evtoebit,2.992947584824416e-17
pricetobook,stdebttocap,3.115932883773483e-17
pricetobook,rdextorevenue,3.115932883773483e-17
divpayoutratio,pricetobook,3.115932883773483e-17
noncontrolinttocap,pricetobook,3.115932883773483e-17
preferredtocap,pricetobook,3.115932883773483e-17
pricetobook,preferredtocap,3.115932883773483e-17
pricetobook,noncontrolinttocap,3.115932883773483e-17
stdebttocap,pricetobook,3.115932883773483e-17
pricetobook,divpayoutratio,3.115932883773483e-17
noncontrollinginterestsharingratio,pricetobook,3.115932883773483e-17
dividendyield,pricetobook,3.115932883773483e-17
rdextorevenue,pricetobook,3.115932883773483e-17
pricetobook,dividendyield,3.115932883773483e-17
pricetobook,noncontrollinginterestsharingratio,3.115932883773483e-17
noncontrollinginterestsharingratio,ebitlesscapextointerestex,3.332996035334943e-17
ebitlesscapextointerestex,divpayoutratio,3.332996035334943e-17
divpayoutratio,ebitlesscapextointerestex,3.332996035334943e-17
ebitlesscapextointerestex,noncontrollinginterestsharingratio,3.332996035334943e-17
dividendyield,ebitlesscapextointerestex,3.332996035334943e-17
